fresh_flowers_1,fresh_flowers_2,fresh_flowers_3,fresh_flowers_4,fresh_flowers_5,fresh_flowers_6,fresh_flowers_7,fresh_flowers_8,fresh_flowers_9,fresh_flowers_10,fresh_flowers_11,fresh_flowers_12,fresh_flowers_13,fresh_flowers_14,fresh_flowers_15,fresh_flowers_16,fresh_flowers_17,fresh_flowers_18,fresh_flowers_19,fresh_flowers_20,fresh_flowers_21,fresh_flowers_22,fresh_flowers_23,fresh_flowers_24
-0.0018,-0.0019,-0.0021,-0.002,-0.0021,-0.0019,0.0127,0.0126,0.0126,0.0126,0.0124,0.0127,-0.0004,-0.0005,-0.0005,-0.0005,-0.0004,-0.0005,0.001,0.001,0.0008,0.0007,0.0006,0.0007
-0.0018,-0.0019,-0.0021,-0.002,-0.0021,-0.0019,0.0127,0.0126,0.0126,0.0126,0.0124,0.0127,-0.0004,-0.0005,-0.0005,-0.0005,-0.0004,-0.0005,0.001,0.001,0.0008,0.0007,0.0006,0.0007
-0.0018,-0.0019,-0.0021,-0.002,-0.0021,-0.0019,0.0127,0.0126,0.0126,0.0126,0.0124,0.0127,-0.0004,-0.0005,-0.0005,-0.0005,-0.0004,-0.0005,0.001,0.001,0.0008,0.0007,0.0006,0.0007
-0.0018,-0.0019,-0.0021,-0.002,-0.0021,-0.0019,0.0127,0.0126,0.0126,0.0126,0.0124,0.0127,-0.0004,-0.0005,-0.0005,-0.0005,-0.0004,-0.0005,0.001,0.001,0.0008,0.0007,0.0006,0.0007
-0.0018,-0.0019,-0.0021,-0.002,-0.0021,-0.0019,0.0127,0.0126,0.0126,0.0126,0.0124,0.0127,-0.0004,-0.0005,-0.0005,-0.0005,-0.0004,-0.0005,0.001,0.001,0.0008,0.0007,0.0006,0.0007
-0.0019,-0.0019,-0.0021,-0.002,-0.0021,-0.0019,0.0127,0.0126,0.0126,0.0126,0.0124,0.0127,-0.0004,-0.0005,-0.0005,-0.0005,-0.0004,-0.0005,0.001,0.001,0.0008,0.0007,0.0006,0.0007
-0.0019,-0.0019,-0.0021,-0.002,-0.0021,-0.0019,0.0127,0.0126,0.0126,0.0126,0.0125,0.0127,-0.0004,-0.0005,-0.0005,-0.0005,-0.0004,-0.0005,0.001,0.001,0.0008,0.0007,0.0006,0.0007
-0.0018,-0.0019,-0.0021,-0.002,-0.0021,-0.0019,0.0127,0.0127,0.0126,0.0126,0.0125,0.0127,-0.0004,-0.0005,-0.0005,-0.0005,-0.0004,-0.0005,0.001,0.001,0.0008,0.0007,0.0006,0.0007
-0.0018,-0.0019,-0.0021,-0.002,-0.0021,-0.0019,0.0127,0.0127,0.0126,0.0126,0.0125,0.0127,-0.0004,-0.0005,-0.0005,-0.0005,-0.0004,-0.0005,0.001,0.001,0.0008,0.0007,0.0006,0.0007
-0.0018,-0.0019,-0.0021,-0.002,-0.0021,-0.0019,0.0127,0.0127,0.0126,0.0126,0.0125,0.0127,-0.0004,-0.0005,-0.0005,-0.0005,-0.0004,-0.0005,0.001,0.001,0.0008,0.0007,0.0006,0.0007
-0.0018,-0.0019,-0.0021,-0.002,-0.0021,-0.0019,0.0127,0.0127,0.0126,0.0126,0.0125,0.0127,-0.0004,-0.0005,-0.0005,-0.0005,-0.0004,-0.0005,0.001,0.001,0.0008,0.0007,0.0006,0.0007
-0.0018,-0.0019,-0.0021,-0.002,-0.0021,-0.0019,0.0127,0.0127,0.0126,0.0126,0.0125,0.0127,-0.0004,-0.0005,-0.0005,-0.0005,-0.0004,-0.0004,0.001,0.001,0.0008,0.0007,0.0006,0.0007
-0.0018,-0.0019,-0.0021,-0.002,-0.0021,-0.0019,0.0127,0.0127,0.0126,0.0126,0.0125,0.0127,-0.0004,-0.0005,-0.0005,-0.0005,-0.0004,-0.0004,0.001,0.001,0.0008,0.0007,0.0007,0.0007
-0.0018,-0.0019,-0.0021,-0.002,-0.0021,-0.0019,0.0127,0.0127,0.0126,0.0126,0.0125,0.0127,-0.0004,-0.0005,-0.0005,-0.0005,-0.0004,-0.0004,0.0011,0.001,0.0009,0.0007,0.0007,0.0007
-0.0018,-0.0019,-0.0021,-0.002,-0.0021,-0.0019,0.0127,0.0127,0.0127,0.0126,0.0125,0.0128,-0.0004,-0.0005,-0.0005,-0.0005,-0.0004,-0.0004,0.0011,0.001,0.0009,0.0007,0.0007,0.0007
-0.0019,-0.0019,-0.0021,-0.002,-0.0021,-0.0019,0.0127,0.0127,0.0127,0.0127,0.0125,0.0128,-0.0004,-0.0005,-0.0004,-0.0005,-0.0004,-0.0004,0.0011,0.001,0.0009,0.0007,0.0007,0.0007
-0.0019,-0.0019,-0.0021,-0.002,-0.0021,-0.0019,0.0127,0.0127,0.0127,0.0127,0.0125,0.0128,-0.0004,-0.0005,-0.0004,-0.0005,-0.0004,-0.0004,0.0011,0.001,0.0009,0.0007,0.0007,0.0007
-0.0019,-0.0019,-0.0022,-0.002,-0.0021,-0.0019,0.0127,0.0127,0.0127,0.0127,0.0125,0.0128,-0.0004,-0.0005,-0.0004,-0.0005,-0.0004,-0.0004,0.0011,0.001,0.0009,0.0007,0.0007,0.0007
-0.0019,-0.0019,-0.0022,-0.002,-0.0021,-0.0019,0.0127,0.0127,0.0127,0.0127,0.0125,0.0128,-0.0004,-0.0005,-0.0004,-0.0005,-0.0004,-0.0004,0.0011,0.001,0.0009,0.0007,0.0007,0.0007
-0.0019,-0.0019,-0.0022,-0.002,-0.0021,-0.0019,0.0127,0.0127,0.0127,0.0127,0.0125,0.0128,-0.0004,-0.0005,-0.0005,-0.0005,-0.0004,-0.0004,0.0011,0.001,0.0008,0.0007,0.0006,0.0007
-0.0019,-0.0019,-0.0022,-0.002,-0.0021,-0.0019,0.0127,0.0127,0.0127,0.0127,0.0125,0.0128,-0.0004,-0.0005,-0.0005,-0.0005,-0.0004,-0.0005,0.001,0.001,0.0008,0.0007,0.0006,0.0007
-0.0019,-0.0019,-0.0022,-0.002,-0.0021,-0.0019,0.0127,0.0127,0.0127,0.0127,0.0125,0.0128,-0.0004,-0.0005,-0.0005,-0.0005,-0.0004,-0.0004,0.001,0.001,0.0008,0.0007,0.0006,0.0007
-0.0019,-0.0019,-0.0022,-0.002,-0.0021,-0.0019,0.0127,0.0127,0.0127,0.0127,0.0125,0.0128,-0.0004,-0.0005,-0.0005,-0.0005,-0.0004,-0.0004,0.001,0.001,0.0008,0.0007,0.0006,0.0007
-0.0019,-0.0019,-0.0022,-0.002,-0.0021,-0.0019,0.0127,0.0127,0.0127,0.0127,0.0125,0.0128,-0.0004,-0.0005,-0.0005,-0.0005,-0.0004,-0.0004,0.001,0.001,0.0008,0.0007,0.0006,0.0007
-0.0019,-0.0019,-0.0022,-0.002,-0.0021,-0.0019,0.0127,0.0127,0.0127,0.0127,0.0125,0.0128,-0.0004,-0.0005,-0.0005,-0.0005,-0.0004,-0.0004,0.001,0.001,0.0008,0.0007,0.0006,0.0007
-0.0019,-0.0019,-0.0022,-0.002,-0.0021,-0.0019,0.0127,0.0127,0.0127,0.0127,0.0126,0.0128,-0.0004,-0.0005,-0.0005,-0.0005,-0.0004,-0.0004,0.001,0.001,0.0008,0.0007,0.0006,0.0007
-0.0019,-0.0019,-0.0022,-0.002,-0.0021,-0.0019,0.0127,0.0127,0.0127,0.0127,0.0126,0.0128,-0.0004,-0.0005,-0.0005,-0.0005,-0.0004,-0.0004,0.001,0.001,0.0008,0.0007,0.0006,0.0007
-0.0019,-0.0019,-0.0021,-0.002,-0.0021,-0.0019,0.0128,0.0127,0.0127,0.0127,0.0126,0.0128,-0.0004,-0.0005,-0.0005,-0.0005,-0.0004,-0.0004,0.001,0.001,0.0008,0.0007,0.0006,0.0007
-0.0019,-0.0019,-0.0021,-0.002,-0.0021,-0.0019,0.0128,0.0128,0.0127,0.0127,0.0126,0.0128,-0.0004,-0.0005,-0.0005,-0.0005,-0.0004,-0.0004,0.0011,0.001,0.0008,0.0007,0.0007,0.0007
-0.0018,-0.0019,-0.0021,-0.002,-0.0021,-0.0019,0.0128,0.0128,0.0127,0.0127,0.0126,0.0128,-0.0004,-0.0005,-0.0004,-0.0005,-0.0004,-0.0004,0.0011,0.001,0.0008,0.0007,0.0007,0.0007
-0.0018,-0.0019,-0.0021,-0.002,-0.0021,-0.0019,0.0128,0.0128,0.0127,0.0127,0.0126,0.0128,-0.0004,-0.0005,-0.0004,-0.0005,-0.0004,-0.0004,0.0011,0.001,0.0009,0.0007,0.0007,0.0007
-0.0019,-0.0019,-0.0022,-0.002,-0.0021,-0.0019,0.0128,0.0128,0.0127,0.0127,0.0126,0.0128,-0.0004,-0.0005,-0.0004,-0.0005,-0.0004,-0.0004,0.0011,0.001,0.0009,0.0008,0.0007,0.0007
-0.0019,-0.0019,-0.0022,-0.002,-0.0021,-0.0019,0.0128,0.0128,0.0127,0.0127,0.0126,0.0129,-0.0004,-0.0005,-0.0004,-0.0005,-0.0004,-0.0004,0.0011,0.001,0.0009,0.0008,0.0007,0.0007
-0.0019,-0.0019,-0.0022,-0.002,-0.0021,-0.0019,0.0128,0.0128,0.0127,0.0127,0.0126,0.0129,-0.0004,-0.0005,-0.0004,-0.0005,-0.0004,-0.0004,0.0011,0.001,0.0009,0.0008,0.0007,0.0007
-0.0019,-0.0019,-0.0021,-0.002,-0.0021,-0.0019,0.0128,0.0128,0.0128,0.0128,0.0126,0.0129,-0.0004,-0.0005,-0.0004,-0.0005,-0.0004,-0.0004,0.0011,0.001,0.0009,0.0007,0.0007,0.0007
-0.0018,-0.0019,-0.0021,-0.002,-0.0021,-0.0019,0.0128,0.0128,0.0128,0.0128,0.0126,0.0129,-0.0004,-0.0005,-0.0004,-0.0005,-0.0004,-0.0004,0.0011,0.001,0.0009,0.0007,0.0007,0.0007
-0.0018,-0.0019,-0.0021,-0.002,-0.0021,-0.0019,0.0128,0.0128,0.0128,0.0128,0.0126,0.0129,-0.0004,-0.0005,-0.0004,-0.0005,-0.0004,-0.0004,0.0011,0.001,0.0009,0.0007,0.0007,0.0007
-0.0018,-0.0019,-0.0021,-0.002,-0.0021,-0.0019,0.0128,0.0128,0.0128,0.0128,0.0126,0.0129,-0.0004,-0.0005,-0.0004,-0.0005,-0.0004,-0.0004,0.0011,0.001,0.0009,0.0008,0.0007,0.0007
-0.0018,-0.0019,-0.0021,-0.002,-0.0021,-0.0019,0.0128,0.0128,0.0128,0.0128,0.0126,0.0129,-0.0004,-0.0005,-0.0004,-0.0005,-0.0004,-0.0004,0.0011,0.001,0.0009,0.0008,0.0007,0.0007
-0.0018,-0.0019,-0.0021,-0.002,-0.0021,-0.0019,0.0128,0.0128,0.0128,0.0128,0.0126,0.0129,-0.0004,-0.0005,-0.0004,-0.0005,-0.0004,-0.0004,0.0011,0.001,0.0009,0.0008,0.0007,0.0007
-0.0018,-0.0019,-0.0021,-0.002,-0.0021,-0.0019,0.0128,0.0128,0.0128,0.0128,0.0126,0.0129,-0.0004,-0.0005,-0.0005,-0.0005,-0.0004,-0.0004,0.0011,0.001,0.0009,0.0008,0.0007,0.0007
-0.0018,-0.0019,-0.0021,-0.002,-0.0021,-0.0019,0.0128,0.0128,0.0128,0.0128,0.0126,0.0129,-0.0004,-0.0005,-0.0005,-0.0005,-0.0004,-0.0004,0.0011,0.001,0.0009,0.0007,0.0007,0.0007
-0.0018,-0.0019,-0.0021,-0.002,-0.0021,-0.0019,0.0128,0.0128,0.0128,0.0128,0.0126,0.0129,-0.0004,-0.0005,-0.0005,-0.0005,-0.0004,-0.0004,0.0011,0.001,0.0009,0.0007,0.0007,0.0007
-0.0018,-0.0019,-0.0021,-0.002,-0.0021,-0.0018,0.0128,0.0128,0.0128,0.0128,0.0126,0.0129,-0.0004,-0.0005,-0.0005,-0.0005,-0.0004,-0.0004,0.0011,0.001,0.0008,0.0007,0.0007,0.0007
-0.0018,-0.0018,-0.0021,-0.002,-0.0021,-0.0018,0.0128,0.0128,0.0128,0.0128,0.0126,0.0129,-0.0004,-0.0005,-0.0005,-0.0005,-0.0004,-0.0004,0.0011,0.001,0.0008,0.0007,0.0007,0.0007
-0.0018,-0.0018,-0.0021,-0.002,-0.0021,-0.0018,0.0128,0.0128,0.0128,0.0128,0.0126,0.0129,-0.0004,-0.0005,-0.0005,-0.0005,-0.0004,-0.0004,0.0011,0.001,0.0008,0.0007,0.0007,0.0007
-0.0018,-0.0018,-0.0021,-0.002,-0.0021,-0.0018,0.0128,0.0128,0.0128,0.0128,0.0126,0.0129,-0.0004,-0.0005,-0.0005,-0.0005,-0.0004,-0.0004,0.0011,0.001,0.0008,0.0007,0.0007,0.0007
-0.0018,-0.0018,-0.0021,-0.002,-0.0021,-0.0018,0.0128,0.0128,0.0128,0.0128,0.0126,0.0129,-0.0004,-0.0005,-0.0005,-0.0005,-0.0004,-0.0004,0.0011,0.001,0.0008,0.0007,0.0007,0.0007
-0.0018,-0.0018,-0.0021,-0.002,-0.0021,-0.0018,0.0128,0.0128,0.0128,0.0128,0.0127,0.0129,-0.0004,-0.0005,-0.0005,-0.0005,-0.0004,-0.0004,0.0011,0.001,0.0008,0.0007,0.0007,0.0007
-0.0018,-0.0018,-0.0021,-0.002,-0.0021,-0.0018,0.0128,0.0128,0.0128,0.0128,0.0127,0.0129,-0.0004,-0.0005,-0.0005,-0.0005,-0.0004,-0.0004,0.0011,0.001,0.0008,0.0007,0.0007,0.0007
-0.0018,-0.0018,-0.0021,-0.002,-0.0021,-0.0018,0.0128,0.0128,0.0128,0.0128,0.0127,0.0129,-0.0004,-0.0005,-0.0005,-0.0005,-0.0004,-0.0004,0.0011,0.001,0.0008,0.0007,0.0007,0.0007
-0.0018,-0.0018,-0.0021,-0.002,-0.0021,-0.0018,0.0128,0.0128,0.0128,0.0128,0.0127,0.0129,-0.0004,-0.0005,-0.0005,-0.0005,-0.0004,-0.0004,0.0011,0.001,0.0008,0.0007,0.0007,0.0007
-0.0018,-0.0018,-0.0021,-0.002,-0.0021,-0.0018,0.0128,0.0129,0.0128,0.0128,0.0127,0.013,-0.0004,-0.0005,-0.0005,-0.0005,-0.0004,-0.0004,0.0011,0.001,0.0008,0.0007,0.0007,0.0007
-0.0018,-0.0018,-0.0021,-0.002,-0.0021,-0.0018,0.0128,0.0129,0.0128,0.0128,0.0127,0.013,-0.0004,-0.0005,-0.0005,-0.0005,-0.0004,-0.0004,0.0011,0.001,0.0009,0.0007,0.0007,0.0007
-0.0018,-0.0018,-0.0021,-0.002,-0.0021,-0.0018,0.0128,0.0129,0.0128,0.0129,0.0127,0.013,-0.0004,-0.0005,-0.0005,-0.0005,-0.0004,-0.0004,0.0011,0.001,0.0009,0.0007,0.0007,0.0007
-0.0018,-0.0018,-0.0021,-0.002,-0.0021,-0.0018,0.0128,0.0129,0.0128,0.0129,0.0127,0.013,-0.0004,-0.0005,-0.0005,-0.0005,-0.0004,-0.0004,0.0011,0.001,0.0009,0.0007,0.0007,0.0007
-0.0018,-0.0019,-0.0021,-0.002,-0.0021,-0.0018,0.0128,0.0129,0.0128,0.0129,0.0127,0.013,-0.0004,-0.0005,-0.0005,-0.0005,-0.0004,-0.0004,0.0011,0.001,0.0008,0.0007,0.0007,0.0007
-0.0018,-0.0019,-0.0021,-0.002,-0.0021,-0.0018,0.0129,0.0129,0.0128,0.0129,0.0127,0.013,-0.0004,-0.0005,-0.0005,-0.0005,-0.0004,-0.0004,0.0011,0.001,0.0008,0.0007,0.0006,0.0007
-0.0018,-0.0019,-0.0021,-0.002,-0.0021,-0.0018,0.0129,0.0129,0.0128,0.0129,0.0127,0.013,-0.0004,-0.0005,-0.0005,-0.0005,-0.0004,-0.0004,0.0011,0.001,0.0009,0.0007,0.0007,0.0007
-0.0018,-0.0018,-0.0021,-0.002,-0.0021,-0.0018,0.0129,0.0129,0.0128,0.0129,0.0127,0.013,-0.0004,-0.0005,-0.0004,-0.0005,-0.0004,-0.0004,0.0011,0.001,0.0009,0.0008,0.0007,0.0007
-0.0018,-0.0018,-0.0021,-0.002,-0.0021,-0.0018,0.0129,0.0129,0.0128,0.0129,0.0127,0.013,-0.0004,-0.0005,-0.0004,-0.0005,-0.0004,-0.0004,0.0011,0.0011,0.0009,0.0008,0.0007,0.0007
-0.0018,-0.0018,-0.0021,-0.002,-0.0021,-0.0018,0.0129,0.0129,0.0128,0.0129,0.0127,0.013,-0.0003,-0.0004,-0.0004,-0.0005,-0.0003,-0.0004,0.0011,0.0011,0.0009,0.0008,0.0007,0.0008
-0.0018,-0.0018,-0.0021,-0.002,-0.0021,-0.0018,0.0129,0.0129,0.0129,0.0129,0.0127,0.013,-0.0003,-0.0004,-0.0004,-0.0005,-0.0003,-0.0004,0.0011,0.0011,0.0009,0.0008,0.0007,0.0008
-0.0018,-0.0019,-0.0021,-0.002,-0.0021,-0.0018,0.0129,0.0129,0.0129,0.0129,0.0127,0.013,-0.0003,-0.0004,-0.0004,-0.0005,-0.0003,-0.0004,0.0011,0.0011,0.0009,0.0008,0.0007,0.0008
-0.0018,-0.0019,-0.0021,-0.002,-0.0021,-0.0018,0.0129,0.0129,0.0129,0.0129,0.0127,0.013,-0.0003,-0.0004,-0.0004,-0.0005,-0.0003,-0.0004,0.0011,0.0011,0.0009,0.0008,0.0007,0.0008
-0.0019,-0.0019,-0.0021,-0.002,-0.0021,-0.0018,0.0129,0.0129,0.0129,0.0129,0.0127,0.013,-0.0004,-0.0004,-0.0004,-0.0005,-0.0003,-0.0004,0.0011,0.0011,0.0009,0.0008,0.0007,0.0008
-0.0019,-0.0019,-0.0021,-0.002,-0.0021,-0.0019,0.0129,0.0129,0.0129,0.0129,0.0127,0.013,-0.0003,-0.0004,-0.0004,-0.0005,-0.0003,-0.0004,0.0011,0.0011,0.0009,0.0008,0.0007,0.0008
-0.0019,-0.0019,-0.0022,-0.002,-0.0021,-0.0019,0.0129,0.0129,0.0129,0.0129,0.0127,0.013,-0.0003,-0.0004,-0.0004,-0.0005,-0.0003,-0.0004,0.0011,0.0011,0.0009,0.0008,0.0007,0.0008
-0.0019,-0.0019,-0.0022,-0.002,-0.0021,-0.0019,0.0129,0.0129,0.0129,0.0129,0.0128,0.013,-0.0003,-0.0004,-0.0004,-0.0004,-0.0003,-0.0004,0.0011,0.0011,0.0009,0.0008,0.0008,0.0008
-0.0019,-0.0019,-0.0022,-0.002,-0.0021,-0.0019,0.0129,0.0129,0.0129,0.0129,0.0128,0.013,-0.0003,-0.0004,-0.0004,-0.0004,-0.0003,-0.0004,0.0012,0.0011,0.0009,0.0008,0.0008,0.0008
-0.0019,-0.0019,-0.0022,-0.002,-0.0021,-0.0019,0.0129,0.0129,0.0129,0.0129,0.0128,0.013,-0.0003,-0.0004,-0.0004,-0.0004,-0.0003,-0.0003,0.0012,0.0011,0.0009,0.0008,0.0008,0.0008
-0.0019,-0.0019,-0.0021,-0.002,-0.0021,-0.0019,0.0129,0.0129,0.0129,0.0129,0.0128,0.013,-0.0003,-0.0004,-0.0004,-0.0004,-0.0003,-0.0003,0.0012,0.0011,0.0009,0.0008,0.0008,0.0008
-0.0019,-0.0019,-0.0021,-0.002,-0.0021,-0.0019,0.0129,0.0129,0.0129,0.0129,0.0128,0.013,-0.0003,-0.0004,-0.0004,-0.0004,-0.0003,-0.0003,0.0012,0.0011,0.0009,0.0008,0.0008,0.0008
-0.0019,-0.0019,-0.0021,-0.002,-0.0021,-0.0019,0.0129,0.0129,0.0129,0.0129,0.0128,0.013,-0.0003,-0.0004,-0.0004,-0.0004,-0.0003,-0.0004,0.0011,0.0011,0.0009,0.0008,0.0007,0.0008
-0.0019,-0.0019,-0.0021,-0.002,-0.0021,-0.0019,0.0129,0.0129,0.0129,0.0129,0.0128,0.0131,-0.0003,-0.0004,-0.0004,-0.0005,-0.0003,-0.0004,0.0011,0.0011,0.0009,0.0008,0.0007,0.0008
-0.0019,-0.0019,-0.0021,-0.002,-0.0021,-0.0019,0.0129,0.0129,0.0129,0.0129,0.0128,0.0131,-0.0003,-0.0004,-0.0004,-0.0005,-0.0003,-0.0004,0.0011,0.0011,0.0009,0.0008,0.0007,0.0008
-0.0019,-0.0019,-0.0021,-0.002,-0.0021,-0.0019,0.0129,0.0129,0.0129,0.0129,0.0128,0.0131,-0.0003,-0.0004,-0.0004,-0.0005,-0.0003,-0.0004,0.0011,0.0011,0.0009,0.0008,0.0007,0.0008
-0.0019,-0.0019,-0.0022,-0.002,-0.0021,-0.0019,0.0129,0.0129,0.0129,0.0129,0.0128,0.0131,-0.0003,-0.0004,-0.0004,-0.0005,-0.0003,-0.0004,0.0011,0.0011,0.0009,0.0008,0.0007,0.0008
-0.0019,-0.0019,-0.0022,-0.002,-0.0021,-0.0019,0.0129,0.0129,0.0129,0.0129,0.0128,0.013,-0.0003,-0.0004,-0.0004,-0.0004,-0.0003,-0.0004,0.0011,0.0011,0.0009,0.0008,0.0007,0.0008
-0.0019,-0.0019,-0.0022,-0.002,-0.0021,-0.0019,0.0129,0.0129,0.0129,0.0129,0.0128,0.013,-0.0003,-0.0004,-0.0004,-0.0004,-0.0003,-0.0004,0.0011,0.0011,0.0009,0.0008,0.0007,0.0008
-0.0019,-0.0019,-0.0022,-0.002,-0.0021,-0.0019,0.0129,0.0129,0.0129,0.0129,0.0128,0.013,-0.0003,-0.0004,-0.0004,-0.0004,-0.0003,-0.0004,0.0012,0.0011,0.0009,0.0008,0.0007,0.0008
-0.0019,-0.0019,-0.0021,-0.002,-0.0021,-0.0019,0.0129,0.0129,0.0129,0.0129,0.0128,0.0131,-0.0003,-0.0004,-0.0004,-0.0004,-0.0003,-0.0003,0.0012,0.0011,0.0009,0.0008,0.0008,0.0008
-0.0019,-0.0019,-0.0021,-0.002,-0.0021,-0.0019,0.0129,0.013,0.0129,0.0129,0.0128,0.0131,-0.0003,-0.0004,-0.0004,-0.0004,-0.0003,-0.0003,0.0012,0.0011,0.0009,0.0008,0.0008,0.0008
-0.0018,-0.0019,-0.0021,-0.002,-0.0021,-0.0019,0.0129,0.013,0.0129,0.0129,0.0128,0.0131,-0.0003,-0.0004,-0.0004,-0.0004,-0.0003,-0.0003,0.0011,0.0011,0.0009,0.0008,0.0007,0.0008
-0.0018,-0.0019,-0.0021,-0.002,-0.0021,-0.0019,0.0129,0.013,0.0129,0.0129,0.0128,0.0131,-0.0003,-0.0004,-0.0004,-0.0004,-0.0003,-0.0004,0.0011,0.0011,0.0009,0.0008,0.0007,0.0008
-0.0018,-0.0019,-0.0021,-0.002,-0.0021,-0.0019,0.0129,0.013,0.0129,0.013,0.0128,0.0131,-0.0003,-0.0004,-0.0004,-0.0004,-0.0003,-0.0004,0.0011,0.0011,0.0009,0.0008,0.0007,0.0008
-0.0018,-0.0019,-0.0021,-0.002,-0.0021,-0.0019,0.0129,0.013,0.0129,0.013,0.0128,0.0131,-0.0003,-0.0004,-0.0004,-0.0005,-0.0003,-0.0004,0.0011,0.0011,0.0009,0.0008,0.0007,0.0008
-0.0018,-0.0019,-0.0021,-0.002,-0.0021,-0.0018,0.0129,0.013,0.0129,0.013,0.0128,0.0131,-0.0003,-0.0004,-0.0004,-0.0005,-0.0003,-0.0004,0.0011,0.0011,0.0009,0.0008,0.0007,0.0008
-0.0018,-0.0019,-0.0021,-0.002,-0.0021,-0.0018,0.0129,0.013,0.0129,0.013,0.0128,0.0131,-0.0004,-0.0004,-0.0004,-0.0005,-0.0003,-0.0004,0.0011,0.0011,0.0009,0.0008,0.0007,0.0008
-0.0018,-0.0019,-0.0021,-0.002,-0.0021,-0.0018,0.0129,0.013,0.013,0.013,0.0128,0.0131,-0.0004,-0.0004,-0.0004,-0.0005,-0.0003,-0.0004,0.0011,0.0011,0.0009,0.0008,0.0007,0.0008
-0.0018,-0.0019,-0.0021,-0.002,-0.0021,-0.0018,0.0129,0.013,0.013,0.013,0.0128,0.0131,-0.0003,-0.0004,-0.0004,-0.0005,-0.0003,-0.0004,0.0011,0.0011,0.0009,0.0008,0.0007,0.0008
-0.0018,-0.0019,-0.0021,-0.002,-0.0021,-0.0019,0.0129,0.013,0.013,0.013,0.0128,0.0131,-0.0003,-0.0004,-0.0004,-0.0005,-0.0003,-0.0004,0.0011,0.0011,0.0009,0.0008,0.0007,0.0008
-0.0018,-0.0019,-0.0021,-0.002,-0.0021,-0.0019,0.0129,0.013,0.013,0.013,0.0128,0.0131,-0.0003,-0.0004,-0.0004,-0.0005,-0.0003,-0.0004,0.0011,0.0011,0.0009,0.0008,0.0007,0.0008
-0.0018,-0.0019,-0.0021,-0.002,-0.0021,-0.0018,0.0129,0.013,0.013,0.013,0.0128,0.0131,-0.0003,-0.0004,-0.0004,-0.0005,-0.0003,-0.0004,0.0011,0.0011,0.0009,0.0008,0.0007,0.0008
-0.0018,-0.0019,-0.0021,-0.002,-0.0021,-0.0018,0.0129,0.013,0.013,0.013,0.0128,0.0131,-0.0003,-0.0004,-0.0004,-0.0005,-0.0003,-0.0004,0.0011,0.0011,0.0009,0.0008,0.0007,0.0008
-0.0018,-0.0019,-0.0021,-0.002,-0.0021,-0.0018,0.0129,0.013,0.013,0.013,0.0128,0.0131,-0.0004,-0.0004,-0.0004,-0.0005,-0.0003,-0.0004,0.0011,0.0011,0.0009,0.0008,0.0007,0.0008
-0.0018,-0.0018,-0.0021,-0.002,-0.0021,-0.0018,0.0129,0.013,0.013,0.013,0.0128,0.0131,-0.0003,-0.0004,-0.0004,-0.0005,-0.0003,-0.0004,0.0011,0.0011,0.0009,0.0008,0.0007,0.0008
-0.0018,-0.0018,-0.0021,-0.002,-0.0021,-0.0018,0.0129,0.013,0.013,0.013,0.0128,0.0131,-0.0003,-0.0004,-0.0004,-0.0004,-0.0003,-0.0004,0.0011,0.0011,0.0009,0.0008,0.0007,0.0008
-0.0018,-0.0018,-0.0021,-0.002,-0.0021,-0.0018,0.013,0.013,0.013,0.013,0.0128,0.0131,-0.0003,-0.0004,-0.0004,-0.0004,-0.0003,-0.0004,0.0012,0.0011,0.0009,0.0008,0.0008,0.0008
-0.0018,-0.0018,-0.0021,-0.002,-0.0021,-0.0018,0.0129,0.013,0.013,0.013,0.0129,0.0131,-0.0003,-0.0004,-0.0004,-0.0004,-0.0003,-0.0004,0.0012,0.0011,0.0009,0.0008,0.0008,0.0008
-0.0018,-0.0018,-0.0021,-0.002,-0.002,-0.0018,0.0129,0.013,0.013,0.013,0.0128,0.0131,-0.0003,-0.0004,-0.0004,-0.0005,-0.0003,-0.0004,0.0011,0.0011,0.0009,0.0008,0.0007,0.0008
-0.0018,-0.0018,-0.0021,-0.002,-0.002,-0.0018,0.0129,0.013,0.013,0.013,0.0128,0.0131,-0.0003,-0.0004,-0.0004,-0.0005,-0.0003,-0.0004,0.0011,0.0011,0.0009,0.0008,0.0007,0.0008
-0.0018,-0.0018,-0.0021,-0.002,-0.0021,-0.0018,0.0129,0.013,0.013,0.013,0.0128,0.0131,-0.0004,-0.0004,-0.0004,-0.0005,-0.0003,-0.0004,0.0011,0.0011,0.0009,0.0008,0.0007,0.0008
-0.0018,-0.0018,-0.0021,-0.002,-0.0021,-0.0018,0.0129,0.013,0.013,0.013,0.0129,0.0131,-0.0004,-0.0004,-0.0004,-0.0005,-0.0003,-0.0004,0.0011,0.0011,0.0009,0.0008,0.0007,0.0008
-0.0018,-0.0019,-0.0021,-0.002,-0.0021,-0.0018,0.013,0.013,0.013,0.013,0.0129,0.0131,-0.0003,-0.0004,-0.0004,-0.0005,-0.0003,-0.0004,0.0011,0.0011,0.0009,0.0008,0.0007,0.0008
-0.0018,-0.0019,-0.0021,-0.002,-0.0021,-0.0018,0.013,0.013,0.013,0.013,0.0129,0.0131,-0.0003,-0.0004,-0.0004,-0.0005,-0.0003,-0.0004,0.0011,0.0011,0.0009,0.0008,0.0007,0.0008
